,n_missing,pct_missing
ast_max,23856,58.6
lactate_max,18735,46.0
pain_mean_24h,9942,24.4
severe_pain,9942,24.4
pain_max_24h,9942,24.4
inr_max,6981,17.1
calcium_min,4489,11.0
calcium_max,4489,11.0
temp_f_max,2967,7.3
temp_f_mean,2967,7.3
wbc_max,1456,3.6
hemoglobin_min,1440,3.5
platelets_min,1429,3.5
glucose_max,1374,3.4
glucose_min,1374,3.4
hematocrit_min,1373,3.4
bun_max,1238,3.0
sodium_min,1205,3.0
sodium_max,1205,3.0
potassium_max,1220,3.0
potassium_min,1220,3.0
chloride_min,1222,3.0
creatinine_max,1226,3.0
positive_fluid_balance,316,0.8
fluid_balance_24h,316,0.8
fluid_output_24h,316,0.8
fluid_input_24h,316,0.8
map_min,188,0.5
map_mean,188,0.5
sbp_min,162,0.4
sbp_mean,162,0.4
sbp_max,162,0.4
rr_max,118,0.3
rr_mean,118,0.3
gcs_first,64,0.2
hr_sd,23,0.1
spo2_mean,39,0.1
spo2_min,39,0.1
rass_mean,1,0.0
rass_min,1,0.0
rass_max,1,0.0
