,0
sofa_cns,1.3277234
rass_min,0.79656124
rass_max,0.7486013
rass_mean,0.23443338
age,0.20274334
gcs_first,0.1854062
icu_type,0.17356245
pain_mean_24h,0.16725607
rass_ever_agitated,0.15663393
cm_electrolyte_disorder,0.14621358
comorbidity_count,0.13990724
neurologic_burden,0.07664589
chloride_min,0.07132704
bun_max,0.07028629
dexmedetomidine,0.06631631
norepinephrine,0.06617231
insurance_coded,0.0653439
lactate_max,0.060815543
rr_mean,0.05816525
spo2_min,0.0464507
sbp_min,0.046380445
glucose_min,0.044695906
cm_cancer,0.042175926
cm_cad,0.04023423
rass_ever_deeply_sedated,0.040097963
pain_max_24h,0.03934307
sodium_max,0.03780322
cm_sepsis,0.03530867
temp_f_mean,0.035193913
spo2_mean,0.03399
platelets_min,0.033249248
inr_max,0.03157579
hr_min,0.030136164
creatinine_max,0.029807702
sofa_cardio,0.029763408
sofa_renal,0.029485518
hematocrit_min,0.029004347
map_min,0.028231943
potassium_min,0.028034339
cm_malnutrition,0.027632779
calcium_max,0.026885333
hr_max,0.026248487
gcs_severe_admission,0.025975922
wbc_max,0.025690855
fentanyl,0.023782741
age_group,0.02170935
hydromorphone,0.020823475
hr_mean,0.020352101
nighttime_admission,0.01994098
midazolam,0.019569613
rr_max,0.019303462
hr_sd,0.018678483
potassium_max,0.017101265
sofa_resp,0.014528737
race_coded,0.013889218
cm_anemia,0.012863389
dementia_icd,0.012760366
propofol,0.0115713915
opioid_any,0.010031285
cm_alcohol,0.008206874
dyskalemia,0.008169026
positive_fluid_balance,0.0075476035
vasopressin,0.006883658
sofa_severe,0.0065230657
morphine,0.0061374987
marital_coded,0.0057972027
hypoalbuminemia,0.0053822063
cm_hypertension,0.0042959624
female,0.0042913086
cm_diabetes,0.0038361482
hyperlactatemia,0.003757353
hyperglycemia,0.0037372748
mechanical_vent,0.0034420309
sedative_any,0.0030273823
leukocytosis,0.0026824034
coagulopathy,0.0024539386
cm_stroke,0.0024408677
severe_pain,0.0023102874
rass_ever_unarousable,0.0020587228
cm_ckd,0.0019321282
sofa_coag,0.0013807858
cm_liver,0.0013389895
cm_depression,0.0012114634
phenylephrine,0.0009300134
cm_copd,0.0009075143
thrombocytopenia,0.00090519706
severe_anemia,0.0007424138
cm_bipolar,0.0006601896
fever,0.00065745786
bradycardia,0.00060328335
cm_anxiety,0.0005336172
hypoglycemia,0.00052399957
dementia_alzheimers,0.00046414058
hypotension,0.00020419466
cm_schizophrenia,0.0002008051
hypoxia,0.00019309533
vasopressor_any,0.00011964125
dementia_vascular,8.470969e-05
epinephrine,0.0
tachycardia,0.0
cm_parkinsons,0.0
aki_flag,0.0
lorazepam,0.0
